geopath,aggincome,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,24120700.0,state=48|county=157|tract=670101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,18855500.0,state=48|county=157|tract=670102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6702,35828100.0,state=48|county=157|tract=670200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6703,16443100.0,state=48|county=157|tract=670300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6704,29556200.0,state=48|county=157|tract=670400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6705,16560700.0,state=48|county=157|tract=670500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,51041100.0,state=48|county=157|tract=670601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,13206600.0,state=48|county=157|tract=670602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6707,12620100.0,state=48|county=157|tract=670700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6708,50151200.0,state=48|county=157|tract=670800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,23511500.0,state=48|county=157|tract=670901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,12303200.0,state=48|county=157|tract=670902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,34156200.0,state=48|county=157|tract=671001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,36143700.0,state=48|county=157|tract=671002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6711,26881900.0,state=48|county=157|tract=671100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6712,34045600.0,state=48|county=157|tract=671200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6713,35788100.0,state=48|county=157|tract=671300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6714,138008300.0,state=48|county=157|tract=671400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,23618400.0,state=48|county=157|tract=671501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,4556700.0,state=48|county=157|tract=671502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,99149300.0,state=48|county=157|tract=671601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,20178100.0,state=48|county=157|tract=671602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6717,25165300.0,state=48|county=157|tract=671700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6718,40441900.0,state=48|county=157|tract=671800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6719,8725000.0,state=48|county=157|tract=671900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,32180400.0,state=48|county=157|tract=672001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,116521300.0,state=48|county=157|tract=672002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6721,10871400.0,state=48|county=157|tract=672100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6722,15827700.0,state=48|county=157|tract=672200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,70629500.0,state=48|county=157|tract=672301,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,30370000.0,state=48|county=157|tract=672302,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6724,38672900.0,state=48|county=157|tract=672400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6725,13768400.0,state=48|county=157|tract=672500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,47207300.0,state=48|county=157|tract=672601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,13710800.0,state=48|county=157|tract=672602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,43465100.0,state=48|county=157|tract=672701,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,31127600.0,state=48|county=157|tract=672702,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6728,71552600.0,state=48|county=157|tract=672800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6729,152004600.0,state=48|county=157|tract=672900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,29672600.0,state=48|county=157|tract=673001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,92660500.0,state=48|county=157|tract=673002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,38529400.0,state=48|county=157|tract=673003,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,279844000.0,state=48|county=157|tract=673101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,102385500.0,state=48|county=157|tract=673102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6732,15086500.0,state=48|county=157|tract=673200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6733,9852700.0,state=48|county=157|tract=673300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6734,30777300.0,state=48|county=157|tract=673400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6735,27603700.0,state=48|county=157|tract=673500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6736,12903500.0,state=48|county=157|tract=673600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6737,,state=48|county=157|tract=673700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6738,60430100.0,state=48|county=157|tract=673800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,31911100.0,state=48|county=157|tract=673901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,80419900.0,state=48|county=157|tract=673902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6740,88830900.0,state=48|county=157|tract=674000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6741,36554200.0,state=48|county=157|tract=674100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6742,16553200.0,state=48|county=157|tract=674200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6743,38713400.0,state=48|county=157|tract=674300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6744,31917400.0,state=48|county=157|tract=674400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,101211700.0,state=48|county=157|tract=674501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,21602400.0,state=48|county=157|tract=674502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,11434500.0,state=48|county=157|tract=674601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,15837600.0,state=48|county=157|tract=674602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,22974700.0,state=48|county=157|tract=674603,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,8999100.0,state=48|county=157|tract=674604,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6747,101581600.0,state=48|county=157|tract=674700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6748,50256500.0,state=48|county=157|tract=674800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6749,38357000.0,state=48|county=157|tract=674900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6750,19934100.0,state=48|county=157|tract=675000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6751,75311800.0,state=48|county=157|tract=675100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6752,42040300.0,state=48|county=157|tract=675200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6753,48298000.0,state=48|county=157|tract=675300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6754,26111200.0,state=48|county=157|tract=675400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6755,55205700.0,state=48|county=157|tract=675500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6756,6840000.0,state=48|county=157|tract=675600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6757,40552400.0,state=48|county=157|tract=675700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6758,14433900.0,state=48|county=157|tract=675800,Renter,2016
