geopath,aggincome,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,82032600.0,state=48|county=157|tract=673902,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,128828000.0,state=48|county=157|tract=672002,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,28095100.0,state=48|county=157|tract=672001,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,27191000.0,state=48|county=157|tract=671501,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,112870700.0,state=48|county=157|tract=671601,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,18581700.0,state=48|county=157|tract=671602,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,6645200.0,state=48|county=157|tract=671502,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,13944200.0,state=48|county=157|tract=670902,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,12369200.0,state=48|county=157|tract=674602,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,23220200.0,state=48|county=157|tract=674502,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6705,17665800.0,state=48|county=157|tract=670500,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6708,51360100.0,state=48|county=157|tract=670800,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6740,91094800.0,state=48|county=157|tract=674000,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6755,67170700.0,state=48|county=157|tract=675500,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6742,15794100.0,state=48|county=157|tract=674200,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6744,44640000.0,state=48|county=157|tract=674400,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6728,90214000.0,state=48|county=157|tract=672800,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6717,81736500.0,state=48|county=157|tract=671700,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6743,35978600.0,state=48|county=157|tract=674300,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6747,108886800.0,state=48|county=157|tract=674700,Renter,2017
