geopath,aggcost,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,478900.0,state=48|county=157|tract=670101,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,414500.0,state=48|county=157|tract=670102,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6702,1114000.0,state=48|county=157|tract=670200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6703,301300.0,state=48|county=157|tract=670300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6704,647000.0,state=48|county=157|tract=670400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6705,376900.0,state=48|county=157|tract=670500,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,762700.0,state=48|county=157|tract=670601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,217100.0,state=48|county=157|tract=670602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6707,180000.0,state=48|county=157|tract=670700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6708,833500.0,state=48|county=157|tract=670800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,395900.0,state=48|county=157|tract=670901,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,365700.0,state=48|county=157|tract=670902,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,408800.0,state=48|county=157|tract=671001,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,1022000.0,state=48|county=157|tract=671002,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6711,505000.0,state=48|county=157|tract=671100,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6712,640000.0,state=48|county=157|tract=671200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6713,679900.0,state=48|county=157|tract=671300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6714,2403800.0,state=48|county=157|tract=671400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,417300.0,state=48|county=157|tract=671501,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,101300.0,state=48|county=157|tract=671502,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,1230700.0,state=48|county=157|tract=671601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,271300.0,state=48|county=157|tract=671602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6717,261300.0,state=48|county=157|tract=671700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6718,599400.0,state=48|county=157|tract=671800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6719,151600.0,state=48|county=157|tract=671900,Renter,2015
