geopath,aggcost,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,609400.0,state=48|county=157|tract=670101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,434600.0,state=48|county=157|tract=670102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6702,1150200.0,state=48|county=157|tract=670200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6703,371600.0,state=48|county=157|tract=670300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6704,731300.0,state=48|county=157|tract=670400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6705,420900.0,state=48|county=157|tract=670500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,812800.0,state=48|county=157|tract=670601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,290700.0,state=48|county=157|tract=670602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6707,217300.0,state=48|county=157|tract=670700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6708,797000.0,state=48|county=157|tract=670800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,550000.0,state=48|county=157|tract=670901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,324800.0,state=48|county=157|tract=670902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,524900.0,state=48|county=157|tract=671001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,937200.0,state=48|county=157|tract=671002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6711,552900.0,state=48|county=157|tract=671100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6712,834100.0,state=48|county=157|tract=671200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6713,764800.0,state=48|county=157|tract=671300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6714,2581800.0,state=48|county=157|tract=671400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,446400.0,state=48|county=157|tract=671501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,116100.0,state=48|county=157|tract=671502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,1515100.0,state=48|county=157|tract=671601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,318600.0,state=48|county=157|tract=671602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6717,323100.0,state=48|county=157|tract=671700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6718,595500.0,state=48|county=157|tract=671800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6719,107800.0,state=48|county=157|tract=671900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,976500.0,state=48|county=157|tract=672001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,2544200.0,state=48|county=157|tract=672002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6721,317200.0,state=48|county=157|tract=672100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6722,225800.0,state=48|county=157|tract=672200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,1233100.0,state=48|county=157|tract=672301,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,621300.0,state=48|county=157|tract=672302,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6724,545400.0,state=48|county=157|tract=672400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6725,403900.0,state=48|county=157|tract=672500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,1136200.0,state=48|county=157|tract=672601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,324500.0,state=48|county=157|tract=672602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,774400.0,state=48|county=157|tract=672701,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,599600.0,state=48|county=157|tract=672702,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6728,1205000.0,state=48|county=157|tract=672800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6729,3203300.0,state=48|county=157|tract=672900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,558900.0,state=48|county=157|tract=673001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,1682400.0,state=48|county=157|tract=673002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,749600.0,state=48|county=157|tract=673003,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,4853500.0,state=48|county=157|tract=673101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,1685800.0,state=48|county=157|tract=673102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6732,201100.0,state=48|county=157|tract=673200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6733,112800.0,state=48|county=157|tract=673300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6734,526300.0,state=48|county=157|tract=673400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6735,700200.0,state=48|county=157|tract=673500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6736,266700.0,state=48|county=157|tract=673600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6737,,state=48|county=157|tract=673700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6738,839900.0,state=48|county=157|tract=673800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,356600.0,state=48|county=157|tract=673901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,1041800.0,state=48|county=157|tract=673902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6740,2061500.0,state=48|county=157|tract=674000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6741,664500.0,state=48|county=157|tract=674100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6742,309800.0,state=48|county=157|tract=674200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6743,549600.0,state=48|county=157|tract=674300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6744,451500.0,state=48|county=157|tract=674400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,1120600.0,state=48|county=157|tract=674501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,474800.0,state=48|county=157|tract=674502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,404500.0,state=48|county=157|tract=674601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,253300.0,state=48|county=157|tract=674602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,499800.0,state=48|county=157|tract=674603,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,127600.0,state=48|county=157|tract=674604,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6747,1556400.0,state=48|county=157|tract=674700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6748,1160300.0,state=48|county=157|tract=674800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6749,549000.0,state=48|county=157|tract=674900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6750,359600.0,state=48|county=157|tract=675000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6751,1514500.0,state=48|county=157|tract=675100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6752,862100.0,state=48|county=157|tract=675200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6753,873800.0,state=48|county=157|tract=675300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6754,363600.0,state=48|county=157|tract=675400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6755,813800.0,state=48|county=157|tract=675500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6756,76200.0,state=48|county=157|tract=675600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6757,366400.0,state=48|county=157|tract=675700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6758,249400.0,state=48|county=157|tract=675800,Renter,2016
