geopath,aggrent,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,1089200.0,state=48|county=157|tract=673902,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,2421700.0,state=48|county=157|tract=672002,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,769600.0,state=48|county=157|tract=672001,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,559000.0,state=48|county=157|tract=671501,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,1584200.0,state=48|county=157|tract=671601,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,301600.0,state=48|county=157|tract=671602,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,112000.0,state=48|county=157|tract=671502,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,328900.0,state=48|county=157|tract=670902,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,195900.0,state=48|county=157|tract=674602,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,457900.0,state=48|county=157|tract=674502,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6705,329700.0,state=48|county=157|tract=670500,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6708,708700.0,state=48|county=157|tract=670800,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6740,1910000.0,state=48|county=157|tract=674000,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6755,863400.0,state=48|county=157|tract=675500,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6742,209300.0,state=48|county=157|tract=674200,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6744,732900.0,state=48|county=157|tract=674400,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6728,1270000.0,state=48|county=157|tract=672800,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6717,393900.0,state=48|county=157|tract=671700,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6743,424200.0,state=48|county=157|tract=674300,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6747,1629200.0,state=48|county=157|tract=674700,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6711,497300.0,state=48|county=157|tract=671100,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6714,2326000.0,state=48|county=157|tract=671400,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6722,351300.0,state=48|county=157|tract=672200,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6751,1445000.0,state=48|county=157|tract=675100,Renter,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6735,720000.0,state=48|county=157|tract=673500,Renter,2017
