geopath,households,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,580,state=48|county=157|tract=670101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,434,state=48|county=157|tract=670102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6702,959,state=48|county=157|tract=670200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6703,312,state=48|county=157|tract=670300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6704,682,state=48|county=157|tract=670400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6705,385,state=48|county=157|tract=670500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,617,state=48|county=157|tract=670601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,264,state=48|county=157|tract=670602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6707,208,state=48|county=157|tract=670700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6708,824,state=48|county=157|tract=670800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,313,state=48|county=157|tract=670901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,235,state=48|county=157|tract=670902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,364,state=48|county=157|tract=671001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,658,state=48|county=157|tract=671002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6711,466,state=48|county=157|tract=671100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6712,617,state=48|county=157|tract=671200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6713,764,state=48|county=157|tract=671300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6714,2116,state=48|county=157|tract=671400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,393,state=48|county=157|tract=671501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,53,state=48|county=157|tract=671502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,1193,state=48|county=157|tract=671601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,156,state=48|county=157|tract=671602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6717,131,state=48|county=157|tract=671700,Renter,2016
